field,period,valid_month,status,source_file,output_file,message,stage
omega700,Jul_2026,202607,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202607.avrg.grib.grb2,,"No match. Attempts: shortName=w, typeOfLevel=isobaricInhPa | shortName=w, typeOfLevel=isobaricInPa | shortName=vvel, typeOfLevel=isobaricInhPa | shortName=vvel, typeOfLevel=isobaricInPa | shortName=VVEL, typeOfLevel=isobaricInhPa | shortName=VVEL, typeOfLevel=isobaricInPa | shortName=w | shortName=vvel | shortName=VVEL",monthly_extraction
olr_proxy,Jul_2026,202607,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\flxf.01.2026061000.202607.avrg.grib.grb2,,"No match. Attempts: shortName=ulwrf, typeOfLevel=nominalTop | shortName=ulwrf, typeOfLevel=topOfAtmosphere | shortName=ulwrf, typeOfLevel=atmosphere | shortName=ulwrf, typeOfLevel=surface | shortName=ULWRF, typeOfLevel=nominalTop | shortName=ULWRF, typeOfLevel=topOfAtmosphere | shortName=ULWRF, typeOfLevel=atmosphere | shortName=ULWRF, typeOfLevel=surface | shortName=ttr, typeOfLevel=nominalTop | shortName=ttr, typeOfLevel=topOfAtmosphere | shortName=ttr, typeOfLevel=atmosphere | shortName=ttr, typeOfLevel=surface | shortName=olr, typeOfLevel=nominalTop | shortName=olr, typeOfLevel=topOfAtmosphere | shortName=olr, typeOfLevel=atmosphere | shortName=olr, typeOfLevel=surface | shortName=ulwrf | shortName=ULWRF | shortName=ttr | shortName=olr",monthly_extraction
sst_proxy,Jul_2026,202607,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\ocnh.01.2026061000.202607.avrg.grib.grb2,,"No match. Attempts: shortName=sst, typeOfLevel=surface | shortName=sst, typeOfLevel=depthBelowSea | shortName=sst, typeOfLevel=depthBelowSeaLayer | shortName=SST, typeOfLevel=surface | shortName=SST, typeOfLevel=depthBelowSea | shortName=SST, typeOfLevel=depthBelowSeaLayer | shortName=wtmp, typeOfLevel=surface | shortName=wtmp, typeOfLevel=depthBelowSea | shortName=wtmp, typeOfLevel=depthBelowSeaLayer | shortName=WTMP, typeOfLevel=surface | shortName=WTMP, typeOfLevel=depthBelowSea | shortName=WTMP, typeOfLevel=depthBelowSeaLayer | shortName=t, typeOfLevel=surface | shortName=t, typeOfLevel=depthBelowSea | shortName=t, typeOfLevel=depthBelowSeaLayer | shortName=sst | shortName=SST | shortName=wtmp | shortName=WTMP | shortName=t",monthly_extraction
u200,Aug_2026,202608,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202608.avrg.grib.grb2,,"No match. Attempts: shortName=u, typeOfLevel=isobaricInhPa | shortName=u, typeOfLevel=isobaricInPa | shortName=UGRD, typeOfLevel=isobaricInhPa | shortName=UGRD, typeOfLevel=isobaricInPa | shortName=ugrd, typeOfLevel=isobaricInhPa | shortName=ugrd, typeOfLevel=isobaricInPa | shortName=u | shortName=UGRD | shortName=ugrd",monthly_extraction
v200,Aug_2026,202608,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202608.avrg.grib.grb2,,"No match. Attempts: shortName=v, typeOfLevel=isobaricInhPa | shortName=v, typeOfLevel=isobaricInPa | shortName=VGRD, typeOfLevel=isobaricInhPa | shortName=VGRD, typeOfLevel=isobaricInPa | shortName=vgrd, typeOfLevel=isobaricInhPa | shortName=vgrd, typeOfLevel=isobaricInPa | shortName=v | shortName=VGRD | shortName=vgrd",monthly_extraction
u850,Aug_2026,202608,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202608.avrg.grib.grb2,,"No match. Attempts: shortName=u, typeOfLevel=isobaricInhPa | shortName=u, typeOfLevel=isobaricInPa | shortName=UGRD, typeOfLevel=isobaricInhPa | shortName=UGRD, typeOfLevel=isobaricInPa | shortName=ugrd, typeOfLevel=isobaricInhPa | shortName=ugrd, typeOfLevel=isobaricInPa | shortName=u | shortName=UGRD | shortName=ugrd",monthly_extraction
v850,Aug_2026,202608,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202608.avrg.grib.grb2,,"No match. Attempts: shortName=v, typeOfLevel=isobaricInhPa | shortName=v, typeOfLevel=isobaricInPa | shortName=VGRD, typeOfLevel=isobaricInhPa | shortName=VGRD, typeOfLevel=isobaricInPa | shortName=vgrd, typeOfLevel=isobaricInhPa | shortName=vgrd, typeOfLevel=isobaricInPa | shortName=v | shortName=VGRD | shortName=vgrd",monthly_extraction
q850,Aug_2026,202608,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202608.avrg.grib.grb2,,"No match. Attempts: shortName=q, typeOfLevel=isobaricInhPa | shortName=q, typeOfLevel=isobaricInPa | shortName=spfh, typeOfLevel=isobaricInhPa | shortName=spfh, typeOfLevel=isobaricInPa | shortName=SPFH, typeOfLevel=isobaricInhPa | shortName=SPFH, typeOfLevel=isobaricInPa | shortName=q | shortName=spfh | shortName=SPFH",monthly_extraction
z500,Aug_2026,202608,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202608.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v2\CFSv2_z500_Aug_2026.nc,"Matched pgbf.01.2026061000.202608.avrg.grib.grb2 using shortName=gh, typeOfLevel=isobaricInhPa",monthly_extraction
omega500,Aug_2026,202608,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202608.avrg.grib.grb2,,"No match. Attempts: shortName=w, typeOfLevel=isobaricInhPa | shortName=w, typeOfLevel=isobaricInPa | shortName=vvel, typeOfLevel=isobaricInhPa | shortName=vvel, typeOfLevel=isobaricInPa | shortName=VVEL, typeOfLevel=isobaricInhPa | shortName=VVEL, typeOfLevel=isobaricInPa | shortName=w | shortName=vvel | shortName=VVEL",monthly_extraction
omega700,Aug_2026,202608,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202608.avrg.grib.grb2,,"No match. Attempts: shortName=w, typeOfLevel=isobaricInhPa | shortName=w, typeOfLevel=isobaricInPa | shortName=vvel, typeOfLevel=isobaricInhPa | shortName=vvel, typeOfLevel=isobaricInPa | shortName=VVEL, typeOfLevel=isobaricInhPa | shortName=VVEL, typeOfLevel=isobaricInPa | shortName=w | shortName=vvel | shortName=VVEL",monthly_extraction
olr_proxy,Aug_2026,202608,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\flxf.01.2026061000.202608.avrg.grib.grb2,,"No match. Attempts: shortName=ulwrf, typeOfLevel=nominalTop | shortName=ulwrf, typeOfLevel=topOfAtmosphere | shortName=ulwrf, typeOfLevel=atmosphere | shortName=ulwrf, typeOfLevel=surface | shortName=ULWRF, typeOfLevel=nominalTop | shortName=ULWRF, typeOfLevel=topOfAtmosphere | shortName=ULWRF, typeOfLevel=atmosphere | shortName=ULWRF, typeOfLevel=surface | shortName=ttr, typeOfLevel=nominalTop | shortName=ttr, typeOfLevel=topOfAtmosphere | shortName=ttr, typeOfLevel=atmosphere | shortName=ttr, typeOfLevel=surface | shortName=olr, typeOfLevel=nominalTop | shortName=olr, typeOfLevel=topOfAtmosphere | shortName=olr, typeOfLevel=atmosphere | shortName=olr, typeOfLevel=surface | shortName=ulwrf | shortName=ULWRF | shortName=ttr | shortName=olr",monthly_extraction
sst_proxy,Aug_2026,202608,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\ocnh.01.2026061000.202608.avrg.grib.grb2,,"No match. Attempts: shortName=sst, typeOfLevel=surface | shortName=sst, typeOfLevel=depthBelowSea | shortName=sst, typeOfLevel=depthBelowSeaLayer | shortName=SST, typeOfLevel=surface | shortName=SST, typeOfLevel=depthBelowSea | shortName=SST, typeOfLevel=depthBelowSeaLayer | shortName=wtmp, typeOfLevel=surface | shortName=wtmp, typeOfLevel=depthBelowSea | shortName=wtmp, typeOfLevel=depthBelowSeaLayer | shortName=WTMP, typeOfLevel=surface | shortName=WTMP, typeOfLevel=depthBelowSea | shortName=WTMP, typeOfLevel=depthBelowSeaLayer | shortName=t, typeOfLevel=surface | shortName=t, typeOfLevel=depthBelowSea | shortName=t, typeOfLevel=depthBelowSeaLayer | shortName=sst | shortName=SST | shortName=wtmp | shortName=WTMP | shortName=t",monthly_extraction
u200,Sep_2026,202609,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202609.avrg.grib.grb2,,"No match. Attempts: shortName=u, typeOfLevel=isobaricInhPa | shortName=u, typeOfLevel=isobaricInPa | shortName=UGRD, typeOfLevel=isobaricInhPa | shortName=UGRD, typeOfLevel=isobaricInPa | shortName=ugrd, typeOfLevel=isobaricInhPa | shortName=ugrd, typeOfLevel=isobaricInPa | shortName=u | shortName=UGRD | shortName=ugrd",monthly_extraction
v200,Sep_2026,202609,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202609.avrg.grib.grb2,,"No match. Attempts: shortName=v, typeOfLevel=isobaricInhPa | shortName=v, typeOfLevel=isobaricInPa | shortName=VGRD, typeOfLevel=isobaricInhPa | shortName=VGRD, typeOfLevel=isobaricInPa | shortName=vgrd, typeOfLevel=isobaricInhPa | shortName=vgrd, typeOfLevel=isobaricInPa | shortName=v | shortName=VGRD | shortName=vgrd",monthly_extraction
u850,Sep_2026,202609,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202609.avrg.grib.grb2,,"No match. Attempts: shortName=u, typeOfLevel=isobaricInhPa | shortName=u, typeOfLevel=isobaricInPa | shortName=UGRD, typeOfLevel=isobaricInhPa | shortName=UGRD, typeOfLevel=isobaricInPa | shortName=ugrd, typeOfLevel=isobaricInhPa | shortName=ugrd, typeOfLevel=isobaricInPa | shortName=u | shortName=UGRD | shortName=ugrd",monthly_extraction
v850,Sep_2026,202609,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202609.avrg.grib.grb2,,"No match. Attempts: shortName=v, typeOfLevel=isobaricInhPa | shortName=v, typeOfLevel=isobaricInPa | shortName=VGRD, typeOfLevel=isobaricInhPa | shortName=VGRD, typeOfLevel=isobaricInPa | shortName=vgrd, typeOfLevel=isobaricInhPa | shortName=vgrd, typeOfLevel=isobaricInPa | shortName=v | shortName=VGRD | shortName=vgrd",monthly_extraction
q850,Sep_2026,202609,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202609.avrg.grib.grb2,,"No match. Attempts: shortName=q, typeOfLevel=isobaricInhPa | shortName=q, typeOfLevel=isobaricInPa | shortName=spfh, typeOfLevel=isobaricInhPa | shortName=spfh, typeOfLevel=isobaricInPa | shortName=SPFH, typeOfLevel=isobaricInhPa | shortName=SPFH, typeOfLevel=isobaricInPa | shortName=q | shortName=spfh | shortName=SPFH",monthly_extraction
z500,Sep_2026,202609,available,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202609.avrg.grib.grb2,D:\jjas-elnino-et\data\cfsv2\organized_v2\CFSv2_z500_Sep_2026.nc,"Matched pgbf.01.2026061000.202609.avrg.grib.grb2 using shortName=gh, typeOfLevel=isobaricInhPa",monthly_extraction
omega500,Sep_2026,202609,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202609.avrg.grib.grb2,,"No match. Attempts: shortName=w, typeOfLevel=isobaricInhPa | shortName=w, typeOfLevel=isobaricInPa | shortName=vvel, typeOfLevel=isobaricInhPa | shortName=vvel, typeOfLevel=isobaricInPa | shortName=VVEL, typeOfLevel=isobaricInhPa | shortName=VVEL, typeOfLevel=isobaricInPa | shortName=w | shortName=vvel | shortName=VVEL",monthly_extraction
omega700,Sep_2026,202609,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\pgbf.01.2026061000.202609.avrg.grib.grb2,,"No match. Attempts: shortName=w, typeOfLevel=isobaricInhPa | shortName=w, typeOfLevel=isobaricInPa | shortName=vvel, typeOfLevel=isobaricInhPa | shortName=vvel, typeOfLevel=isobaricInPa | shortName=VVEL, typeOfLevel=isobaricInhPa | shortName=VVEL, typeOfLevel=isobaricInPa | shortName=w | shortName=vvel | shortName=VVEL",monthly_extraction
olr_proxy,Sep_2026,202609,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\flxf.01.2026061000.202609.avrg.grib.grb2,,"No match. Attempts: shortName=ulwrf, typeOfLevel=nominalTop | shortName=ulwrf, typeOfLevel=topOfAtmosphere | shortName=ulwrf, typeOfLevel=atmosphere | shortName=ulwrf, typeOfLevel=surface | shortName=ULWRF, typeOfLevel=nominalTop | shortName=ULWRF, typeOfLevel=topOfAtmosphere | shortName=ULWRF, typeOfLevel=atmosphere | shortName=ULWRF, typeOfLevel=surface | shortName=ttr, typeOfLevel=nominalTop | shortName=ttr, typeOfLevel=topOfAtmosphere | shortName=ttr, typeOfLevel=atmosphere | shortName=ttr, typeOfLevel=surface | shortName=olr, typeOfLevel=nominalTop | shortName=olr, typeOfLevel=topOfAtmosphere | shortName=olr, typeOfLevel=atmosphere | shortName=olr, typeOfLevel=surface | shortName=ulwrf | shortName=ULWRF | shortName=ttr | shortName=olr",monthly_extraction
sst_proxy,Sep_2026,202609,field_not_found,D:\jjas-elnino-et\data\cfsv2\monthly_grib\ocnh.01.2026061000.202609.avrg.grib.grb2,,"No match. Attempts: shortName=sst, typeOfLevel=surface | shortName=sst, typeOfLevel=depthBelowSea | shortName=sst, typeOfLevel=depthBelowSeaLayer | shortName=SST, typeOfLevel=surface | shortName=SST, typeOfLevel=depthBelowSea | shortName=SST, typeOfLevel=depthBelowSeaLayer | shortName=wtmp, typeOfLevel=surface | shortName=wtmp, typeOfLevel=depthBelowSea | shortName=wtmp, typeOfLevel=depthBelowSeaLayer | shortName=WTMP, typeOfLevel=surface | shortName=WTMP, typeOfLevel=depthBelowSea | shortName=WTMP, typeOfLevel=depthBelowSeaLayer | shortName=t, typeOfLevel=surface | shortName=t, typeOfLevel=depthBelowSea | shortName=t, typeOfLevel=depthBelowSeaLayer | shortName=sst | shortName=SST | shortName=wtmp | shortName=WTMP | shortName=t",monthly_extraction
u200,JJA_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
u200,JJAS_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
v200,JJA_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
v200,JJAS_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
u850,JJA_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
u850,JJAS_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
v850,JJA_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
v850,JJAS_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
q850,JJA_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
q850,JJAS_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
z500,JJA_2026,,available,,D:\jjas-elnino-et\data\cfsv2\organized_v2\CFSv2_z500_JJA_2026.nc,Seasonal mean created successfully.,seasonal_mean
z500,JJAS_2026,,available,,D:\jjas-elnino-et\data\cfsv2\organized_v2\CFSv2_z500_JJAS_2026.nc,Seasonal mean created successfully.,seasonal_mean
omega500,JJA_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
omega500,JJAS_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
omega700,JJA_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
omega700,JJAS_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
olr_proxy,JJA_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
olr_proxy,JJAS_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
sst_proxy,JJA_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
sst_proxy,JJAS_2026,,no_monthly_files,,,No monthly files available for seasonal mean.,seasonal_mean
