diagnostic,period,domain,value,units,interpretation
mfc850,JJA,turkana_corridor,-2.5990649420885922e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,ethiopia,0.028203336005932063,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,ethiopia,0.037122450318186034,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,ethiopia,6.078277217582907,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,ethiopia,8.990433528885353e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,ethiopia_highlands_broad,0.009697355245322201,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,ethiopia_highlands_broad,0.011063223133150243,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,ethiopia_highlands_broad,2.2978430572330604,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,ethiopia_highlands_broad,3.396073760401671e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,north_ethiopia,0.015391530325116552,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,north_ethiopia,-0.0018384562040892826,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,north_ethiopia,2.686289623097193,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,north_ethiopia,4.4613792823920977e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,central_ethiopia,0.0031263796371881606,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,central_ethiopia,0.006122785593913729,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,central_ethiopia,1.0297633938939208,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,central_ethiopia,2.628651447427039e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,west_ethiopia,0.010726631285727319,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,west_ethiopia,0.019246063859526926,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,west_ethiopia,2.0814654966810835,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,west_ethiopia,2.0944121872722528e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,east_ethiopia,0.06248791436084679,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,east_ethiopia,0.06446667158490482,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,east_ethiopia,9.692322699567997,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,east_ethiopia,1.9748045157514333e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,greater_horn,0.0009735581645029951,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,greater_horn,0.024135042994820742,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,greater_horn,6.061539925810691,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,greater_horn,2.3486826189825396e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,east_africa,0.0013092274799690938,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,east_africa,0.02980010320278954,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,east_africa,6.231757984272948,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,east_africa,3.3140228211146985e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,atlantic_congo_ethiopia,-0.005805503811493853,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,atlantic_congo_ethiopia,0.011889668043276838,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,atlantic_congo_ethiopia,4.145563510856401,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,atlantic_congo_ethiopia,-1.3131855904279453e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,congo_moisture_corridor,0.006955205123932487,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,congo_moisture_corridor,0.010846103461735415,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,congo_moisture_corridor,2.436669669312466,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,congo_moisture_corridor,1.428162660177116e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,western_moisture_entry,0.011510445615556236,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,western_moisture_entry,0.017597802885686874,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,western_moisture_entry,2.561567998227158,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,western_moisture_entry,9.918949494860545e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,western_indian_ocean,0.01624962568374472,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,western_indian_ocean,0.046502559400363755,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,western_indian_ocean,9.560548672008485,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,western_indian_ocean,-5.023710581074981e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,arabia_red_sea,0.02800776880235807,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,arabia_red_sea,-0.0014518856576766002,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,arabia_red_sea,5.638623790611414,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,arabia_red_sea,1.5501607103335362e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,north_africa_arabia,0.012185107794025882,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,north_africa_arabia,-0.006403433451369199,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,north_africa_arabia,4.6834135530081085,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,north_africa_arabia,6.198508947524868e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,tej_core,0.07598993095660403,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,tej_core,0.01731962027395874,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,tej_core,8.234907036747735,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,tej_core,1.0971282267405964e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,somali_jet_box,0.023636914950620508,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,somali_jet_box,0.06724038127437865,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,somali_jet_box,10.530522934394039,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,somali_jet_box,-9.35941566433698e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJAS,turkana_corridor,-0.02933077547611826,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJAS,turkana_corridor,0.05468712402014175,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJAS,turkana_corridor,7.204224787133629,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJAS,turkana_corridor,-2.640337614024641e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,June,ethiopia,0.029710094573829688,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,ethiopia,0.039615347535877615,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,ethiopia,6.264500310591341,m s**-1,Monthly climatological diagnostic.
mfc850,June,ethiopia,1.6314964027514647e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,ethiopia_highlands_broad,0.010274974219739176,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,ethiopia_highlands_broad,0.01124151387807697,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,ethiopia_highlands_broad,2.5773429519310365,m s**-1,Monthly climatological diagnostic.
mfc850,June,ethiopia_highlands_broad,4.505316525988856e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,north_ethiopia,0.01516583548121056,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,north_ethiopia,-0.0032862241306945506,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,north_ethiopia,3.108781168737022,m s**-1,Monthly climatological diagnostic.
mfc850,June,north_ethiopia,6.02993509428521e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,central_ethiopia,0.002086022250917963,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,central_ethiopia,0.005111768094922801,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,central_ethiopia,1.0653584371493798,m s**-1,Monthly climatological diagnostic.
mfc850,June,central_ethiopia,4.156294735792033e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,west_ethiopia,0.01327063117554929,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,west_ethiopia,0.02300897418446226,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,west_ethiopia,2.50728022758039,m s**-1,Monthly climatological diagnostic.
mfc850,June,west_ethiopia,2.829833400182565e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,east_ethiopia,0.065935793766035,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,east_ethiopia,0.06642718904358416,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,east_ethiopia,9.856389852798001,m s**-1,Monthly climatological diagnostic.
mfc850,June,east_ethiopia,2.2998237337128514e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,greater_horn,0.0013215765809669472,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,greater_horn,0.029298938985094548,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,greater_horn,6.218188422850244,m s**-1,Monthly climatological diagnostic.
mfc850,June,greater_horn,5.665506088649997e-10,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,east_africa,0.0016871392410308887,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,east_africa,0.03542654590365125,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,east_africa,6.385212765416056,m s**-1,Monthly climatological diagnostic.
mfc850,June,east_africa,1.238319145637672e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,atlantic_congo_ethiopia,-0.009724810950030409,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,atlantic_congo_ethiopia,0.01592790340248028,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,atlantic_congo_ethiopia,4.202899789410572,m s**-1,Monthly climatological diagnostic.
mfc850,June,atlantic_congo_ethiopia,-2.8433385990660347e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,congo_moisture_corridor,0.002969239958728878,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,congo_moisture_corridor,0.02008812020990657,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,congo_moisture_corridor,2.5499597173683264,m s**-1,Monthly climatological diagnostic.
mfc850,June,congo_moisture_corridor,1.0849996274523716e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,western_moisture_entry,0.012216794706293818,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,western_moisture_entry,0.026019019017483744,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,western_moisture_entry,2.8956387984424876,m s**-1,Monthly climatological diagnostic.
mfc850,June,western_moisture_entry,1.3402588988745524e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,western_indian_ocean,0.023956734539186203,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,western_indian_ocean,0.04999690726757637,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,western_indian_ocean,9.808578345672164,m s**-1,Monthly climatological diagnostic.
mfc850,June,western_indian_ocean,-4.8197960210105735e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,arabia_red_sea,0.025226432588717682,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,arabia_red_sea,-0.0031709205416806316,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,arabia_red_sea,5.565330705621768,m s**-1,Monthly climatological diagnostic.
mfc850,June,arabia_red_sea,1.4937845207318677e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,north_africa_arabia,0.011333088274046445,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,north_africa_arabia,-0.005615500008910859,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,north_africa_arabia,4.647167221240219,m s**-1,Monthly climatological diagnostic.
mfc850,June,north_africa_arabia,8.18140802935956e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,tej_core,0.07939858322246708,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,tej_core,0.02016975922847083,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,tej_core,8.4594147439623,m s**-1,Monthly climatological diagnostic.
mfc850,June,tej_core,1.1829456394481266e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,somali_jet_box,0.028716560672933177,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,somali_jet_box,0.07269204530064415,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,somali_jet_box,10.698783529025551,m s**-1,Monthly climatological diagnostic.
mfc850,June,somali_jet_box,-8.929631401880528e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,June,turkana_corridor,-0.02744652179241794,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,June,turkana_corridor,0.05878238142906586,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,June,turkana_corridor,7.128045784251937,m s**-1,Monthly climatological diagnostic.
mfc850,June,turkana_corridor,-2.4555317158185576e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,ethiopia,0.037276182410388936,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,ethiopia,0.04138420840218163,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,ethiopia,7.12726854986664,m s**-1,Monthly climatological diagnostic.
mfc850,July,ethiopia,7.097439548807148e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,ethiopia_highlands_broad,0.014564870351148501,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,ethiopia_highlands_broad,0.014208231614038136,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,ethiopia_highlands_broad,2.7438297164081633,m s**-1,Monthly climatological diagnostic.
mfc850,July,ethiopia_highlands_broad,3.1573416705045974e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,north_ethiopia,0.022590274964932922,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,north_ethiopia,0.0011328080902827005,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,north_ethiopia,3.3178000591567502,m s**-1,Monthly climatological diagnostic.
mfc850,July,north_ethiopia,4.1502568169298e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,central_ethiopia,0.00632195230250953,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,central_ethiopia,0.008017099780162807,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,central_ethiopia,1.2696867724482161,m s**-1,Monthly climatological diagnostic.
mfc850,July,central_ethiopia,2.1198389042652113e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,west_ethiopia,0.015481896590975198,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,west_ethiopia,0.02376097590900478,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,west_ethiopia,2.550435152531205,m s**-1,Monthly climatological diagnostic.
mfc850,July,west_ethiopia,2.073207197540162e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,east_ethiopia,0.07525695577460635,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,east_ethiopia,0.07111834760552872,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,east_ethiopia,11.354654794763016,m s**-1,Monthly climatological diagnostic.
mfc850,July,east_ethiopia,2.7183077865747403e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,greater_horn,0.008288254002074374,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,greater_horn,0.02985678162255718,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,greater_horn,6.841995934036357,m s**-1,Monthly climatological diagnostic.
mfc850,July,greater_horn,2.1210609535669848e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
qu850,July,east_africa,0.008759153879515846,kg kg-1 m s-1,Monthly climatological diagnostic.
qv850,July,east_africa,0.03663763055013184,kg kg-1 m s-1,Monthly climatological diagnostic.
wind_speed850,July,east_africa,7.0607260528131155,m s**-1,Monthly climatological diagnostic.
mfc850,July,east_africa,2.8058357879318276e-09,kg kg-1 s-1 approximately,Monthly climatological diagnostic.
