diagnostic,period,value,units,interpretation,source_table,domain,classification
mfc850,JJA,2.1514126084548563e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
qu850,JJA,0.004312207373414494,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
qv850,JJA,0.027455783825070693,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
wind_speed850,JJA,6.404907835573809,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
mfc850,JJA,2.0033413539559754e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
qu850,JJA,0.004768439631910147,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,east_africa,
qv850,JJA,0.03371111455815244,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,east_africa,
wind_speed850,JJA,6.598979024804092,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,east_africa,
mfc850,JJA,2.7669345941401213e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,east_africa,
qu850,JJA,-0.003969534342280065,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
qv850,JJA,0.014102097564844969,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
wind_speed850,JJA,4.254638070881536,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
mfc850,JJA,-1.7470337420877266e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
qu850,JJA,0.008655124673084201,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
qv850,JJA,0.01419310982302172,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
wind_speed850,JJA,2.585945017361741,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
mfc850,JJA,1.3544360917615706e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
qu850,JJA,0.015766734485051566,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
qv850,JJA,0.020929891976223632,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
wind_speed850,JJA,2.866822164982296,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
mfc850,JJA,1.038076733674837e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
qu850,JJA,0.020712415643490818,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
qv850,JJA,0.05176528999894594,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
wind_speed850,JJA,10.284600064365383,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
mfc850,JJA,-5.485438225452951e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
qu850,JJA,0.033792894525958996,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
qv850,JJA,-0.0011852333973908246,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
wind_speed850,JJA,6.241327278066861,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
mfc850,JJA,1.7711215034199797e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
qu850,JJA,0.01612485331034843,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
qv850,JJA,-0.006052021345437842,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
wind_speed850,JJA,4.961743313996088,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
mfc850,JJA,7.757874954745697e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
qu850,JJA,0.0864218729431374,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,tej_core,
qv850,JJA,0.020504543817000218,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,tej_core,
wind_speed850,JJA,9.094000070644219,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,tej_core,
mfc850,JJA,1.172567862485358e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,tej_core,
qu850,JJA,0.029169979767465194,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
qv850,JJA,0.07308096191734854,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
wind_speed850,JJA,11.31441033515964,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
mfc850,JJA,-1.062293157515537e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
qu850,JJA,-0.027444591987533642,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
qv850,JJA,0.056583691082244,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
wind_speed850,JJA,7.257122032638336,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
mfc850,JJA,-2.5990649420885922e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
qu850,JJAS,0.028203336005932063,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
qv850,JJAS,0.037122450318186034,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
wind_speed850,JJAS,6.078277217582907,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
mfc850,JJAS,8.990433528885353e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
qu850,JJAS,0.009697355245322201,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
qv850,JJAS,0.011063223133150243,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
wind_speed850,JJAS,2.2978430572330604,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
mfc850,JJAS,3.396073760401671e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
qu850,JJAS,0.015391530325116552,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qv850,JJAS,-0.0018384562040892826,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
wind_speed850,JJAS,2.686289623097193,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
mfc850,JJAS,4.4613792823920977e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qu850,JJAS,0.0031263796371881606,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qv850,JJAS,0.006122785593913729,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
wind_speed850,JJAS,1.0297633938939208,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
mfc850,JJAS,2.628651447427039e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qu850,JJAS,0.010726631285727319,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qv850,JJAS,0.019246063859526926,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
wind_speed850,JJAS,2.0814654966810835,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
mfc850,JJAS,2.0944121872722528e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qu850,JJAS,0.06248791436084679,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
qv850,JJAS,0.06446667158490482,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
wind_speed850,JJAS,9.692322699567997,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
mfc850,JJAS,1.9748045157514333e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
qu850,JJAS,0.0009735581645029951,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
qv850,JJAS,0.024135042994820742,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
wind_speed850,JJAS,6.061539925810691,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
mfc850,JJAS,2.3486826189825396e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,greater_horn,
qu850,JJAS,0.0013092274799690938,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,east_africa,
qv850,JJAS,0.02980010320278954,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,east_africa,
wind_speed850,JJAS,6.231757984272948,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,east_africa,
mfc850,JJAS,3.3140228211146985e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,east_africa,
qu850,JJAS,-0.005805503811493853,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
qv850,JJAS,0.011889668043276838,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
wind_speed850,JJAS,4.145563510856401,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
mfc850,JJAS,-1.3131855904279453e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,atlantic_congo_ethiopia,
qu850,JJAS,0.006955205123932487,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
qv850,JJAS,0.010846103461735415,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
wind_speed850,JJAS,2.436669669312466,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
mfc850,JJAS,1.428162660177116e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,congo_moisture_corridor,
qu850,JJAS,0.011510445615556236,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
qv850,JJAS,0.017597802885686874,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
wind_speed850,JJAS,2.561567998227158,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
mfc850,JJAS,9.918949494860545e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,western_moisture_entry,
qu850,JJAS,0.01624962568374472,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
qv850,JJAS,0.046502559400363755,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
wind_speed850,JJAS,9.560548672008485,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
mfc850,JJAS,-5.023710581074981e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,western_indian_ocean,
qu850,JJAS,0.02800776880235807,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
qv850,JJAS,-0.0014518856576766002,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
wind_speed850,JJAS,5.638623790611414,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
mfc850,JJAS,1.5501607103335362e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,arabia_red_sea,
qu850,JJAS,0.012185107794025882,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
qv850,JJAS,-0.006403433451369199,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
wind_speed850,JJAS,4.6834135530081085,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
mfc850,JJAS,6.198508947524868e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,north_africa_arabia,
qu850,JJAS,0.07598993095660403,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,tej_core,
qv850,JJAS,0.01731962027395874,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,tej_core,
wind_speed850,JJAS,8.234907036747735,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,tej_core,
mfc850,JJAS,1.0971282267405964e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,tej_core,
qu850,JJAS,0.023636914950620508,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
qv850,JJAS,0.06724038127437865,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
wind_speed850,JJAS,10.530522934394039,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
mfc850,JJAS,-9.35941566433698e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,somali_jet_box,
qu850,JJAS,-0.02933077547611826,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
qv850,JJAS,0.05468712402014175,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
wind_speed850,JJAS,7.204224787133629,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
mfc850,JJAS,-2.640337614024641e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,turkana_corridor,
qu850,June,0.029710094573829688,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
qv850,June,0.039615347535877615,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
wind_speed850,June,6.264500310591341,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
mfc850,June,1.6314964027514647e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
qu850,June,0.010274974219739176,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
qv850,June,0.01124151387807697,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
wind_speed850,June,2.5773429519310365,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
mfc850,June,4.505316525988856e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
qu850,June,0.01516583548121056,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qv850,June,-0.0032862241306945506,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
wind_speed850,June,3.108781168737022,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
mfc850,June,6.02993509428521e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qu850,June,0.002086022250917963,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qv850,June,0.005111768094922801,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
wind_speed850,June,1.0653584371493798,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
mfc850,June,4.156294735792033e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qu850,June,0.01327063117554929,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qv850,June,0.02300897418446226,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
wind_speed850,June,2.50728022758039,m s**-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
mfc850,June,2.829833400182565e-08,kg kg-1 s-1 approximately,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qu850,June,0.065935793766035,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
qv850,June,0.06642718904358416,kg kg-1 m s-1,Monthly climatological diagnostic.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
